height,signal
681408,0
681409,0
681410,0
681411,0
681412,0
681413,0
681414,0
681415,0
681416,0
681417,0
681418,0
681419,0
681420,0
681421,0
681422,0
681423,0
681424,0
681425,0
681426,0
681427,0
681428,0
681429,0
681430,0
681431,0
681432,0
681433,0
681434,0
681435,0
681436,0
681437,0
681438,0
681439,0
681440,0
681441,0
681442,0
681443,0
681444,0
681445,0
681446,0
681447,0
681448,0
681449,0
681450,0
681451,0
681452,0
681453,0
681454,0
681455,0
681456,0
681457,0
681458,1
681459,0
681460,0
681461,0
681462,0
681463,0
681464,0
681465,0
681466,0
681467,0
681468,0
681469,0
681470,0
681471,0
681472,0
681473,0
681474,0
681475,0
681476,0
681477,0
681478,0
681479,0
681480,0
681481,0
681482,0
681483,0
681484,0
681485,0
681486,0
681487,0
681488,0
681489,0
681490,0
681491,0
681492,0
681493,0
681494,0
681495,0
681496,0
681497,0
681498,0
681499,0
681500,0
681501,0
681502,0
681503,0
681504,0
681505,0
681506,0
681507,0
681508,0
681509,0
681510,0
681511,0
681512,0
681513,1
681514,0
681515,0
681516,0
681517,0
681518,0
681519,0
681520,0
681521,0
681522,0
681523,0
681524,0
681525,0
681526,0
681527,0
681528,0
681529,0
681530,0
681531,0
681532,1
681533,0
681534,0
681535,0
681536,0
681537,0
681538,0
681539,0
681540,0
681541,0
681542,0
681543,1
681544,0
681545,0
681546,0
681547,0
681548,0
681549,0
681550,1
681551,1
681552,0
681553,0
681554,0
681555,0
681556,1
681557,0
681558,0
681559,0
681560,0
681561,0
681562,1
681563,0
681564,0
681565,0
681566,1
681567,0
681568,0
681569,1
681570,0
681571,0
681572,0
681573,0
681574,0
681575,1
681576,0
681577,0
681578,0
681579,0
681580,0
681581,0
681582,0
681583,1
681584,0
681585,0
681586,0
681587,0
681588,1
681589,0
681590,0
681591,0
681592,0
681593,0
681594,0
681595,1
681596,0
681597,0
681598,0
681599,1
681600,1
681601,1
681602,0
681603,0
681604,0
681605,0
681606,1
681607,1
681608,0
681609,0
681610,0
681611,0
681612,1
681613,0
681614,0
681615,0
681616,1
681617,0
681618,0
681619,0
681620,0
681621,0
681622,0
681623,0
681624,0
681625,1
681626,0
681627,0
681628,0
681629,1
681630,0
681631,1
681632,0
681633,0
681634,0
681635,0
681636,0
681637,0
681638,0
681639,0
681640,1
681641,0
681642,0
681643,0
681644,0
681645,1
681646,1
681647,0
681648,1
681649,0
681650,0
681651,0
681652,0
681653,1
681654,0
681655,0
681656,0
681657,0
681658,0
681659,0
681660,0
681661,0
681662,0
681663,0
681664,0
681665,0
681666,0
681667,0
681668,0
681669,0
681670,0
681671,0
681672,1
681673,1
681674,1
681675,0
681676,0
681677,1
681678,1
681679,1
681680,1
681681,0
681682,0
681683,0
681684,0
681685,0
681686,0
681687,0
681688,0
681689,0
681690,0
681691,0
681692,1
681693,0
681694,0
681695,0
681696,1
681697,0
681698,1
681699,0
681700,0
681701,0
681702,0
681703,1
681704,1
681705,0
681706,0
681707,0
681708,0
681709,0
681710,0
681711,0
681712,1
681713,0
681714,0
681715,0
681716,0
681717,1
681718,0
681719,0
681720,0
681721,0
681722,0
681723,1
681724,0
681725,1
681726,0
681727,1
681728,0
681729,0
681730,1
681731,1
681732,0
681733,0
681734,0
681735,1
681736,0
681737,1
681738,0
681739,0
681740,0
681741,1
681742,1
681743,0
681744,1
681745,0
681746,1
681747,0
681748,1
681749,1
681750,0
681751,0
681752,0
681753,1
681754,0
681755,0
681756,0
681757,0
681758,0
681759,0
681760,0
681761,0
681762,0
681763,1
681764,0
681765,0
681766,0
681767,0
681768,0
681769,1
681770,0
681771,0
681772,0
681773,0
681774,0
681775,0
681776,0
681777,0
681778,0
681779,0
681780,0
681781,0
681782,0
681783,0
681784,0
681785,1
681786,1
681787,0
681788,0
681789,0
681790,1
681791,0
681792,0
681793,0
681794,1
681795,0
681796,0
681797,0
681798,1
681799,1
681800,0
681801,0
681802,1
681803,0
681804,0
681805,0
681806,0
681807,1
681808,0
681809,0
681810,1
681811,0
681812,0
681813,0
681814,1
681815,0
681816,0
681817,1
681818,1
681819,0
681820,1
681821,0
681822,0
681823,1
681824,0
681825,0
681826,0
681827,0
681828,1
681829,0
681830,0
681831,0
681832,0
681833,0
681834,0
681835,1
681836,0
681837,1
681838,0
681839,0
681840,1
681841,1
681842,0
681843,1
681844,1
681845,0
681846,0
681847,0
681848,0
681849,0
681850,1
681851,0
681852,0
681853,0
681854,1
681855,0
681856,0
681857,1
681858,0
681859,1
681860,1
681861,0
681862,0
681863,1
681864,0
681865,1
681866,1
681867,1
681868,1
681869,1
681870,0
681871,0
681872,0
681873,1
681874,0
681875,1
681876,0
681877,0
681878,1
681879,1
681880,0
681881,0
681882,0
681883,1
681884,0
681885,1
681886,0
681887,1
681888,0
681889,0
681890,0
681891,0
681892,1
681893,0
681894,0
681895,0
681896,0
681897,0
681898,1
681899,0
681900,0
681901,0
681902,0
681903,1
681904,0
681905,0
681906,0
681907,1
681908,0
681909,1
681910,0
681911,1
681912,0
681913,1
681914,1
681915,0
681916,0
681917,1
681918,1
681919,1
681920,0
681921,0
681922,0
681923,0
681924,1
681925,0
681926,1
681927,0
681928,0
681929,0
681930,0
681931,1
681932,1
681933,1
681934,1
681935,0
681936,0
681937,1
681938,1
681939,1
681940,0
681941,0
681942,1
681943,0
681944,0
681945,0
681946,0
681947,0
681948,1
681949,0
681950,1
681951,1
681952,1
681953,1
681954,0
681955,0
681956,1
681957,1
681958,1
681959,1
681960,0
681961,0
681962,1
681963,1
681964,0
681965,1
681966,0
681967,1
681968,1
681969,0
681970,0
681971,0
681972,0
681973,1
681974,0
681975,0
681976,0
681977,0
681978,1
681979,0
681980,0
681981,0
681982,0
681983,1
681984,1
681985,0
681986,1
681987,0
681988,0
681989,1
681990,1
